,Bow,Sail Number,Yacht Name,Yacht Design,Owner/Skipper,Race,Race,Race,Race,Race,Race,Race,Race,Race,Race,Race,Total
,,,,,,1,2,3,4,5,6,7,8,9,10,11,
1,83,  CAN 83,Mandate,J 105,Terry McLaughlin / Rod Wilmer,2,7,2,2,3,5,2,2,3,3,4,35
2,30,  USA 130,Deja Voodoo,J/105,Bill Zartler,8,4,3,5,1,3,3,1,2,7,3,40
3,3,  USA 003,Ne*Ne,J/105,Tim Russell,7,2,1,1,4,1,11,4,10,4,2,47
4,44,  USA 144,Fall Line,J-105,Chip Schaffner,1,1,7,7,6,6,9,9,4,5,6,61
5,11,  CAN 110,Hey Jude,J 105,James Rathbun,20,5,9,4,7,2,6,3,12,2,1,71
6,98,  USA 98,Arbitrade,J/105,Bruce Stone & Nicole Breault,14,14,5,13,2,9,1,5,8,6,5,82
7,35,  CAN 358,Thunderstruck,J105,Andrew Moor,6,9,8,6,12,4,4,12,14,8,7,90
8,93,  CAN 293,The Usual Suspects,J/105,Suspect Syndicate,9,10,19,3,5,27/UFD,8,6,6,1,9,103
9,26,  USA 261,Unbridled,J 105,Robert Mock,12,27/SCP,4,11,11,7,14,8,5,13,14,126
10,5,  5,FIVE,J 105,Richard Stearns,21,20,10,8,8,14,5,20,15,9,12,142
11,77,  USA 77,Dark N Stormy,J 105,Ronald Christopher Carson,5,11,17,20,21,8,23,7,1,19,23/SCP,155
12,28,  CAN 283,Forró,J 105,Gregory Mezo,4,22,6,9,16,12,21,13,21,17,15,156
13,49,  USA 493,Rapscallion,J105,Thomas Cliffel,18,3,16,27/DNF,17,13,13,21,23,10,8,169
14,91,  USA 91,Trio,J 105,Paul Uhlir,15,8,13,27/UFD,18,20,15,10,11,16,20,173
15,42,  USA 246,Mr Krabs,J 105,Paul Schiavoni,16,12,14,18,15,15,19,14,25,15,11,174
16,34,  USA 349,Sealark,J 105,Clark Pellett,11,19,24,10,14,18,7,17,24,18,16,178
17,45,  USA 145,Kashmir,J 105,Kashmir Racing,10,15,15,15,20,11,17,27/UFD,18,12,19,179
18,15,  Can 158,The Kernel,J105,Alan Heisey,13,21,22,17,10,27/UFD,10,15,13,11,21,180
19,67,  USA 677,Myouri II,J 105,Paul Johnson,24,16,18,12,19,10,18,11,22,21,10,181
20,47,  CAN 476,Trident,J/105,Andrew Lennox,22,18,12,14,9,17,24,19,20,20,24,199
21,72,  USA 72,Highlander,J 105,David Butcher,3,6,20,27/DNC,27/DNC,21,12,18,19,22,25,200
22,12,  USA 123,Good Lookin',J 105,Mark DenUyl,17,25,11,19,21/SCP,23,16,22,7,26,13,200
23,66,  USA 656,Aurora,J 105,Sara Creenan,19,13,23,16,27/DNF,19,20,27/UFD,9,25,22,220
24,73,  USA 673,The Asylum,J 105,Jon Weglarz,23,24,21,27/DNC,27/DNC,27/UFD,22,16,16,14,17,234
25,39,  USA 393,Ovation,J105,Lucinda Einhouse,25,17,25,21,22,22,25,23,17,24,23,244
26,20,  208,Slingshot,J105,Douglas Kohler,26,26,26,27/DNC,27/DNC,16,26,24,26,23,27/DNF,274